Model: ,Oscilloscope MSO6014A,
Serial Number:,MY50340123,
Address: ,GPIB0::7::INSTR,
Date: ,8/5/2016 13:38,
,,
Sample Number,Time (s),1 (VOLT)
734,4.66E-06,977
735,4.68E-06,1068
736,4.70E-06,1069
737,4.72E-06,952
738,4.74E-06,706
739,4.76E-06,387
740,4.78E-06,35
741,4.80E-06,-305
742,4.82E-06,-598
743,4.84E-06,-820
744,4.86E-06,-958
745,4.88E-06,-1026
746,4.90E-06,-986
747,4.92E-06,-828
748,4.94E-06,-571
749,4.96E-06,-271
750,4.98E-06,73
751,5.00E-06,379
752,5.02E-06,617
753,5.04E-06,761
754,5.06E-06,819
755,5.08E-06,787
756,5.10E-06,693
757,5.12E-06,549
758,5.14E-06,336
759,5.16E-06,97
760,5.18E-06,-151
761,5.20E-06,-324
762,5.22E-06,-433
763,5.24E-06,-544
764,5.26E-06,-647
765,5.28E-06,-635
766,5.30E-06,-486
767,5.32E-06,-266
768,5.34E-06,-31
769,5.36E-06,186
770,5.38E-06,310
771,5.40E-06,349
772,5.42E-06,326
773,5.44E-06,284
774,5.46E-06,232
775,5.48E-06,177
776,5.50E-06,120
777,5.52E-06,48
778,5.54E-06,-38
779,5.56E-06,-145
780,5.58E-06,-228
781,5.60E-06,-268
782,5.62E-06,-246
783,5.64E-06,-185
784,5.66E-06,-107
785,5.68E-06,-29
786,5.70E-06,33
787,5.72E-06,100
788,5.74E-06,171
789,5.76E-06,212
790,5.78E-06,201
791,5.80E-06,151
792,5.82E-06,62
793,5.84E-06,-30
794,5.86E-06,-123
795,5.88E-06,-187
796,5.90E-06,-200
797,5.92E-06,-186
798,5.94E-06,-152
799,5.96E-06,-92
800,5.98E-06,2
801,6.00E-06,106
802,6.02E-06,187
803,6.04E-06,252
804,6.06E-06,308
805,6.08E-06,336
806,6.10E-06,316
807,6.12E-06,248
808,6.14E-06,168
809,6.16E-06,63
810,6.18E-06,-71
811,6.20E-06,-215
812,6.22E-06,-352
813,6.24E-06,-449
814,6.26E-06,-483
815,6.28E-06,-449
816,6.30E-06,-340
817,6.32E-06,-217
818,6.34E-06,-95
819,6.36E-06,46
820,6.38E-06,216
821,6.40E-06,367
822,6.42E-06,467
823,6.44E-06,508
824,6.46E-06,496
825,6.48E-06,441
826,6.50E-06,322
827,6.52E-06,179
828,6.54E-06,9
829,6.56E-06,-173
830,6.58E-06,-312
831,6.60E-06,-426
832,6.62E-06,-504
833,6.64E-06,-516
834,6.66E-06,-463
835,6.68E-06,-344
836,6.70E-06,-213
837,6.72E-06,-69
838,6.74E-06,85
839,6.76E-06,216
840,6.78E-06,308
841,6.80E-06,368
842,6.82E-06,392
843,6.84E-06,377
844,6.86E-06,331
845,6.88E-06,267
846,6.90E-06,201
847,6.92E-06,127
848,6.94E-06,53
849,6.96E-06,-4
850,6.98E-06,-34
851,7.00E-06,-44
852,7.02E-06,-61
853,7.04E-06,-80
854,7.06E-06,-88
855,7.08E-06,-97
856,7.10E-06,-126
857,7.12E-06,-176
858,7.14E-06,-195
859,7.16E-06,-188
860,7.18E-06,-176
861,7.20E-06,-160
862,7.22E-06,-137
863,7.24E-06,-110
864,7.26E-06,-86
865,7.28E-06,-55
866,7.30E-06,-4
867,7.32E-06,71
868,7.34E-06,167
869,7.36E-06,248
870,7.38E-06,320
871,7.40E-06,379
872,7.42E-06,411
873,7.44E-06,407
874,7.46E-06,377
875,7.48E-06,293
876,7.50E-06,180
877,7.52E-06,47
878,7.54E-06,-95
879,7.56E-06,-232
880,7.58E-06,-345
881,7.60E-06,-436
882,7.62E-06,-508
883,7.64E-06,-548
884,7.66E-06,-530
885,7.68E-06,-449
886,7.70E-06,-304
887,7.72E-06,-137
888,7.74E-06,76
889,7.76E-06,278
890,7.78E-06,460
891,7.80E-06,592
892,7.82E-06,654
893,7.84E-06,640
894,7.86E-06,574
895,7.88E-06,459
896,7.90E-06,306
